Name,Website,Email,Phone,Industries,Goods,"City, Country",Address,Description
Bank of Yokohama,www.boy.co.jp,,,Financial Services,,"Yokohama,Japan",,"The Bank of Yokohama, engages in the provision of banking, leasing, securities, and other financial services. It also handles investment products, one-stop service for both banking and securities, and assets with inheritance and trust related companies. The company was founded on December 16, 1920 and is headquartered in Yokohama, Japan."
Bank of Zhengzhou,www.zzbank.cn,,,Financial Services,,"Zhengzhou,China","No.22 Shangwu waihuan Road, Zhengdong New District,","Bank of Zhengzhou Co., engages in the provision of commercial banking services. It operates through the following segments: Corporate Banking, Retail Banking, Treasury Business, and Others. The Corporate Banking segment provides corporate loans and advances; trade finance and deposit taking activities; agency services; and remittance and settlement services to corporations, government agencies, and financial institutions. The Retail Banking segment offers personal loans and deposit taking activities; bank card business; personal wealth management services; remittance and settlement services; and collection and payment agency services to retail customers. The Treasury Business segment includes interbank money market transactions, repurchases transactions, and investments. The Others segment represents equity investment and related income. The company was founded in July 1996 and is headquartered in Zhengzhou, China."
Bank Rakyat Indonesia,www.bri.co.id,,,Financial Services,,"Jakarta,Indonesia",,"PT Bank Rakyat Indonesia (Persero) Tbk engages in the provision of general banking services. The firm operates through the following segments: Micro, Retail, Corporate, Others, and Subsidiaries. The Micro segment offers banking services to individual customers and micro-entrepreneurs. The Retail segment serves individual customers and small and medium entrepreneurs by providing banking services, deposit products, and commercial or consumer loans. The Corporate segment provides special loans, cash management, and other loan facilities to state owned enterprises and non-state owned enterprises companies. The Subsidiaries segment focuses on shariah banking services, agribusiness, and remittances provided by the company subsidiaries. The company was founded by Aria Wiriatmaja on December 16, 1895 and is headquartered in Jakarta, Indonesia."
Bank Respublika,www.bankrespublika.az,,,Banking,Financial Services,"Baku, Azerbaijan",,
Bank Saderat Iran,www.bsi.ir,,,"Banking, Financial services","Credit cards, consumer banking, corporate banking, investment banking, mortgage loans, private banking, wealth management","Tehran, Iran","43 Somayeh Avenue,
Tehran, Iran",
Bank Sepah,www.banksepah.ir,,,"Banking, Financial services","Credit cards, consumer banking, corporate banking, mortgage loans","Tehran, Iran",,
Bank Zachodni WBK,www.bzwbk.pl,,,universal bank,Banking products,"Wrocław, Poland",,
Banka Kombetare Tregtare,www.bkt.com.al,,,Banking,Banking services,"Tirana, Albania.",,
Bankable Productions,www.tyra.com/view/BANKABLE_PRODUCTIONS_ABOUT,,,,,,,
Bankhaus Lampe,www.bankhaus-lampe.de,,,bank,,Bielefeld,,
Bankia,www.bankia.com,,,Financial Services,,"Valencia,Spain",,"Bankia SA engages in financing, insurance, and banking services. It operates through the following business areas: Retail Banking, Business Banking, Private Banking, Asset Management and Banc assurance, Capital Markets, and Holdings. The Retail Banking area takes in all types of retail banking activity with individuals and entities with a high level of income. The Business Banking area handles the needs of companies with a certain amount of revenues. The Private Banking area devises solutions tailored to the specific financial and tax needs of its customer. The Asset Management and Bancassurance area consists of the investment funds, pension funds, plans, and insurance businesses. The Capital Markets area originates, designs, structures, and sells financial products directly through its customer networks. The Holdings area conducts integrated management for the portfolio of holdings in companies affiliated with or jointly owned by the Bankia Group. The company was founded on January 1, 2011 and is headquartered in Valencia, Spain."
